hostname(KVM),ip(debug host),machine_name(頁面),project
18F_AI01,10.5.238.1,18F_test1,18F
18F_AI02,10.5.238.2,18F_test2,18F
18F_AI03,10.5.238.3,18F_test3,18F
18F_AI04,10.5.238.4,18F_test4,18F
18F_AI05,10.5.238.5,18F_test5,18F
18F_AI06,10.5.238.6,18F_test6,18F
18F_AI07,10.5.238.7,18F_test7,18F
18F_AI08,10.5.238.8,18F_test8,18F
21F_R5A1,10.5.238.9,21F_R5A1,21F
21F_R5A2,10.5.238.10,21F_R5A2,21F
21F_R5A3,10.5.238.11,21F_R5A3,21F
21F_R5A4,10.5.238.12,21F_R5A4,21F
21F_R5B1,10.5.238.13,21F_R5B1,21F
21F_R5B2,10.5.238.14,21F_R5B2,21F
21F_R5B3,10.5.238.15,21F_R5B3,21F
21F_R5B4,10.5.238.16,21F_R5B4,21F
21F_Pista1,10.5.238.17,21F_Pista1,21F_Pista1
21F_Pista2,10.5.238.18,21F_Pista2,21F_Pista1
21F_Ernesto,10.5.238.19,21F_Ernesto,21F_Ernesto
